epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1323,1.83585,3.33528,2.17181,0.57116,0.81667,0.82196,0.49646,1.80565,1.7403,1.86931,0,0,0
2,9.37805,2.2525,3.5779,2.66546,0.56818,0.81667,0.82266,0.48876,1.81872,1.72131,1.88516,1.07219e-06,1.07219e-06,1.07219e-06
3,13.6256,1.81841,4.21387,2.13101,0.57544,0.81667,0.78222,0.48007,1.81368,1.71448,1.87167,1.90876e-06,1.90876e-06,1.90876e-06
4,17.8958,1.73114,3.38659,2.24089,0.57519,0.81667,0.78266,0.48003,1.81423,1.70913,1.87059,2.50971e-06,2.50971e-06,2.50971e-06
5,22.103,1.6999,3.68003,1.93771,0.58819,0.81667,0.7859,0.48131,1.8163,1.69763,1.87343,2.87504e-06,2.87504e-06,2.87504e-06
6,26.6093,1.62545,2.94086,1.83996,0.55002,0.75011,0.7865,0.4852,1.82351,1.68061,1.86803,3.00475e-06,3.00475e-06,3.00475e-06
7,31.0594,1.88113,3.5863,2.43008,0.70992,0.73333,0.78718,0.48243,1.82687,1.66907,1.87047,2.89884e-06,2.89884e-06,2.89884e-06
8,35.2944,1.7623,3.0923,2.27137,0.72917,0.73333,0.7881,0.48119,1.82686,1.66526,1.87117,2.55731e-06,2.55731e-06,2.55731e-06
9,39.7829,1.70513,3.02554,2.15591,0.73513,0.73333,0.79188,0.48334,1.83896,1.67575,1.87517,1.98016e-06,1.98016e-06,1.98016e-06
10,44.1277,1.43145,3.49852,1.66321,0.73805,0.73333,0.76829,0.4791,1.85031,1.69247,1.88741,1.16739e-06,1.16739e-06,1.16739e-06
